sessionID,sessionStartTime,sessionEndTime,n10sGaps,n1minGaps,n3minGaps,minuteG,distG,minuteB,distB,minuteA,distA,types
s82,2016-09-11 23:42:22,2016-09-11 23:44:07,,,,,,,,,,NoGap
s06,2016-09-11 06:53:13,2016-09-11 07:29:41,5.0,2.0,,,,,,,,NoGap
s61,2016-09-11 03:03:05,2016-09-11 05:48:10,,,1.0,158.58333333333334,10176.847114019805,0.75,582.9418372812469,5.7499999999999964,6956.011968233471,MMM
s02,2016-09-11 06:38:21,2016-09-11 07:54:52,,,1.0,31.933333333333334,13.782077115776811,43.75000000000015,8.417492795367389,0.8333333333333334,48.234331231012696,NNN
s30,2016-09-11 20:40:50,2016-09-11 23:59:58,,,1.0,24.75,22182.51607870822,12.766666666666687,17255.702634900932,161.61666666666648,538.5380224132574,MMM
s63,2016-09-11 03:47:43,2016-09-11 04:18:25,,,1.0,13.5,5.24260049471348,7.016666666666659,3576.7740901762654,10.183333333333337,4804.656318950161,MMN
s24,2016-09-11 06:28:54,2016-09-11 07:31:57,,,1.0,32.516666666666666,19.593015299292013,29.783333333333193,9935.27697533764,0.75,72.40847921986852,MNN
s12,2016-09-11 04:34:36,2016-09-11 05:43:51,,,1.0,18.716666666666665,1539.6644850108983,3.750000000000002,11.316544061972046,46.78333333333356,51237.19291174156,NMM
s1,2016-09-11 22:41:01,2016-09-11 22:52:55,,,1.0,11.55,1826.8993554813437,0.23333333333333334,167.39284645968885,0.11666666666666667,8.093199469576135,NNM
s25,2016-09-11 11:49:27,2016-09-11 12:02:46,,,1.0,8.35,13.435171142515456,0.05,11.134682475927423,4.916666666666667,4171.816679641234,NMN
